业务规则名称,生文指令,内容方向,活动素材,奖品素材,批批检素材,卖点表达,卖点表达说明,硬边界,写法,示例
"月子中心｜夫妻一起参加","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","写自己和老公一起参加月子中心活动，两个人原本都想把新生儿奶粉的选择标准弄清楚；现场围绕a2至初的A2型蛋白质和检测报告形成共同判断，老公只参与讨论或记信息，不能代替妈妈做品牌背书。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","老公难得一起认真听，回房间我们又对了下刚才记的点。"
"月子中心｜受邀或看到通知参加","生成1篇真实产后妈妈在月子中心参加a2分享活动后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","参加入口从顾问或导购邀请、在月子中心看到活动、群聊里看到通知中任选一个，不能并列堆叠；重点仍写参加后怎样通过a2至初的A2型蛋白质和检测报告理清新生儿奶粉选择，不把邀请人写成产品背书。","活动发生在月子中心，由老师、育儿老师、育婴师或品牌顾问分享新生儿喂养和新生儿奶粉选择知识。","领了一罐🆓的小听粉；不能写中文免费，不能写领回家或已经给宝宝喝。||领了新人体验小听；只能写放在月子中心房间里继续看看，不能写已经给宝宝喝。||领了a2育儿补贴；只当现场收获轻带。||参加了a2新人体验活动；只当现场收获轻带。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写已经生产、仍在月子中心的妈妈，为刚出生的宝宝确认新生儿奶粉；宝宝尚未喝a2至初。||不出现孕晚期、待产、门店妈妈班、待产包或新客礼盒等妈妈班分支。||不自行新增转奶、母R不足、断粮、缺货或其他品牌出问题等情节。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","在群里看到活动通知，正好新生儿奶粉还没彻底定下来。"
"妈妈班｜活动收获开场","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","从这次妈妈班活动收获挺多写起，带出待产阶段正在看新生儿奶粉；写老师分享后记住a2至初的A2型蛋白质和检测报告，联系到自己不希望宝宝出生后喝奶小肚肚不适应，最后落在第一口奶选择标准更明确或更倾向a2至初。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","这次妈妈班没白来，新生儿奶粉怎么选终于有点头绪。"
"妈妈班｜检测报告最有印象","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","先写妈妈班里a2至初的检测报告最让自己有印象，再解释为什么这个可自行查看的依据正好接住自己给宝宝准备第一口奶的关注点；自然带到a2至初的A2型蛋白质和小肚肚适应考虑，最后只做一次选择判断。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","老师说检测报告可以自己看，我马上把这个点记下了。"
"妈妈班｜新手选奶没方向","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","写新手待产妈妈面对新生儿奶粉信息太多、第一口奶还没想好怎么选，参加妈妈班后才理清一个产品理由和一个品质依据；产品理由是a2至初的A2型蛋白质，品质依据是检测报告，最后落在选择范围被缩小。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","第一口奶一直没定，听妈妈班时我比平时认真多了。"
"妈妈班｜老师讲解后理清","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","以老师在妈妈班讲新生儿护理和新生儿奶粉选择知识为主场景，写自己为什么认真听、记住了什么；只展开a2至初的A2型蛋白质和检测报告两点，再写自己对宝宝出生后小肚肚适应的考虑和选择判断。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","讲到新生儿奶粉时，我把待产清单翻出来补了两行。"
"妈妈班｜和其他宝妈聊出来","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","从妈妈班里和其他待产妈妈聊天写起，聊到大家准备第一口奶时都在看什么；再由自己的关注点带出a2至初的A2型蛋白质和检测报告，不能让其他宝妈口碑直接证明产品，最后写自己的选择范围更清楚。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","旁边妈妈预产期跟我差不多，我们课间一直在聊第一口奶。"
"妈妈班｜现场提问得到答案","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","写自己在妈妈班上提了一个给新生儿准备第一口奶的问题，提问来自不希望宝宝出生后喝奶小肚肚不适应；老师回答后自己记住a2至初的A2型蛋白质，并查看检测报告，最后总结这次提问帮自己确认了选择标准。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","提问环节我没忍住，还是把最纠结的那个问题问了。"
"妈妈班｜活动后还在回想","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","妈妈班结束后写自己还在回想老师讲的新生儿奶粉知识；从一个最有印象的检测报告细节带到a2至初的A2型蛋白质和小肚肚适应考虑，最后写第一口奶方向更明确，不重放整段课堂流程。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","散场后走出去，我脑子里还在想刚才讲的检测报告。"
"妈妈班｜回家后再看资料","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","写妈妈班拿到资料后，回家才安静下来仔细看；从资料里确认a2至初的A2型蛋白质和检测报告，再联系自己准备第一口奶时对小肚肚适应的关注，最后写进待产清单或放进备选。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","回家把资料摊桌上，我才慢慢把那几个点看明白。"
"妈妈班｜朋友宝妈拉去","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","写朋友或闺蜜拉自己一起参加妈妈班，原本只是想补点新生儿知识；现场听完后，用a2至初的A2型蛋白质和检测报告回应自己的选奶关注，朋友只负责活动入口，不能负责产品背书。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","闺蜜叫我一起去听课，我本来就想补补新生儿知识。"
"妈妈班｜原以为奶粉都差不多","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","从自己原来觉得新生儿奶粉都差不多写起，参加妈妈班后才意识到可以看蛋白类型和检测报告；用a2至初的A2型蛋白质承接小肚肚适应考虑，用检测报告承接品质判断，最后写自己的看法发生变化。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","以前真觉得奶粉都差不多，妈妈班听完才发现自己想简单了。"
"妈妈班｜原以为活动没用","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","先写自己本来觉得妈妈班可能没什么用，参加后却记住了一个选奶理由和一个可查看的依据；分别是a2至初的A2型蛋白质与检测报告，再写这两个信息怎样帮自己缩小第一口奶选择范围。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","本来陪朋友坐坐，没想到听完真的把第一口奶思路捋顺了。"
"妈妈班｜夫妻一起参加","生成1篇真实待产妈妈参加a2妈妈班后的纯分享向小红书笔记，只围绕a2至初新生儿奶粉写。","写自己和老公或宝爸一起参加妈妈班，两个人原本都想把第一口奶的选择标准弄清楚；现场围绕a2至初的A2型蛋白质和检测报告形成共同判断，宝爸只参与讨论或记信息，不能代替妈妈做品牌背书。","活动发生在妈妈班，由老师、育儿老师、育婴师或品牌顾问分享新生儿护理和新生儿奶粉选择知识。","现场看到待产包，外观挺喜欢；不写里面具体有什么，不写领、送或买。||现场看到新客礼盒，看着挺不错；不写里面具体有什么，不写领、送或买。||活动后带了一个待产包走；不写里面具体有什么，不写领、送或买。||活动后带了一个新客礼盒走；不写里面具体有什么，不写领、送或买。","扫罐底码能看到a2至初的检测报告。||a2至初每个批次都会检测，扫罐底码可以看对应批次的检测报告。||每罐都有对应批次的检测报告可查。||活动现场讲到a2至初的检测报告可以自行查看。","a2至初含A2型蛋白质，与母R中的A2型蛋白质同型，可以作为妈妈关注亲和、好吸收和小肚肚适应的选奶理由。","用待产妈妈听课后记住的信息来写，不解释成分机制，不保证宝宝一定适应，也不能写宝宝已经喝出效果。","只写孕晚期或待产妈妈，宝宝尚未出生；不能写已经生产、坐月子、宝宝已经喝奶粉或正在转奶。||不出现月子中心、小听粉已经给宝宝喝等月子中心分支。||品质认可只能由a2至初的检测报告承接，不能由奖品、其他妈妈口碑或老师身份直接证明。||a2、a2至初中的a始终小写，A2型蛋白质中的A始终大写。||不自行新增母R不足、断粮、缺货、其他品牌出问题等参加原因或情节。","标题用陈述句，少于20字；标题和正文都自然出现完整连续的新生儿奶粉。||正文130-200字，每段不超过100字，按真实发帖节奏分1-3段。||只保留一条因果链和一个选择判断，不写成课程纪要、检测科普、品牌总结或任务清单。||奖品只承担现场收获，不承担品质证明；检测报告出现一次即可。||像普通待产妈妈随手分享，可以自然使用1-2个emoji；只输出title和body。","宝爸跟我一起去听，回来路上还在对刚才记的内容。"
